name,symbol,Price_usd,volume24h,volume30d,marketCap,dominance,ytdPriceChangePercentage,cmcRank,marketPairCount,circulatingSupply,totalSupply
Bitcoin,BTC,24620.84946628324,37459153346.59741,482227314415.9877,474999117095.83954,42.6334,48.0946,1,9982,19292556.0,19292556.0
Ethereum,ETH,1688.699933662355,12431615394.446224,150400396310.8156,206652739764.00476,18.5435,40.6119,2,6463,122373866.2178,122373866.2178
Tether,USDT,1.0002231442672171,52447341923.41727,649109357237.1285,69801303310.66104,6.266,0.0531,3,47649,69785731024.84929,73141766321.23428
BNB,BNB,321.78534300642525,955695598.3353522,10561929866.32008,50809312486.69713,4.5601,31.8052,4,1190,157898156.61579898,159979963.59042934
USD Coin,USDC,1.0000394164409587,5046872422.845304,77705985290.55782,41513026786.967545,3.7254,0.0046,5,10109,41511390555.69259,41511390555.69259
XRP,XRP,0.40142653652843696,1159215128.7501678,12339102008.417442,20392100702.593918,1.8302,18.4976,6,886,50799084881.0,99989130718.0
Cardano,ADA,0.40777546543477566,559953796.6728014,11239774454.2625,14123041912.008991,1.2678,63.26,7,649,34634359124.453,35485065064.783
Binance USD,BUSD,0.9999610216308232,11867221426.684593,178076429976.9212,14071111423.938305,1.2632,-0.0379,8,6211,14071659914.293375,14071659914.293375
Polygon,MATIC,1.3806380375988638,862113000.4813209,12738190941.396439,12058930938.842848,1.0822,81.6694,9,587,8734317475.28493,10000000000.0
Dogecoin,DOGE,0.089402179208525,704698964.3630936,7068679873.169036,11861055445.671112,1.0644,27.3088,10,644,132670764299.89409,132670764299.89409
Solana,SOL,23.82626853254221,905729756.2319255,29522422059.83595,8972751593.432077,0.8051,138.6882,11,433,376590718.81847477,539312704.8875339
Polkadot,DOT,6.609246776533072,371367120.1541033,3850847886.606511,7648957508.278658,0.6865,51.2131,12,467,1157311531.3892052,1283735201.694385
Shiba Inu,SHIB,1.3758555599197145e-05,514081786.76581895,8933358196.174437,7554317649.897087,0.6781,69.3605,13,487,549063278876301.94,589735030408322.8
Litecoin,LTC,101.64574353329557,807312345.5189764,11353868905.340706,7348171859.280218,0.6594,43.5357,14,873,72291978.03913172,84000000.0
TRON,TRX,0.07087684004680296,381273020.2694844,5425114552.296934,6492648285.460778,0.5826,29.2909,15,725,91604652255.56627,91604808221.17235
Avalanche,AVAX,19.881422522203028,327432552.4314458,10699182927.175947,6265146537.746346,0.5623,82.9705,16,375,315125667.22776514,420531657.22776514
